District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Baristart Coffee,1.2776935811720365,103.84439002689504,Coffee Shop
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Jigger & Pony,1.274394,103.843476,Cocktail Bar
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Sofitel Singapore City Centre,1.2768338184569892,103.84541434171615,Hotel
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Binomio Spanish Restaurante,1.277712604671512,103.84224763695231,Spanish Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Fitness First Platinum,1.2752734785728739,103.84394498750873,Gym / Fitness Center
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,The Daily Cut,1.2767265621171775,103.8452612818406,Salad Place
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Ramen Keisuke Tonkotsu King,1.2765857301618302,103.84398444435972,Ramen Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Virgin Active,1.2770546200166835,103.84643542061019,Gym / Fitness Center
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Nesuto Patisserie,1.2779778063824219,103.84442755714727,Dessert Shop
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Pâtisserie Glacé,1.2752207172066476,103.84413599967957,Bakery
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Bam! Tapas-Sake Bar,1.2783927600824425,103.84442645049216,Tapas Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Nylon Coffee Roasters,1.2766572092129436,103.84007318719618,Coffee Shop
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Carlton City Hotel,1.275886962053166,103.84364615024096,Hotel
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Junior,1.2789584,103.84418,Bar
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Henri Charpentier,1.2769868762612466,103.84535147421906,Bakery
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Starbucks,1.2753580186930895,103.84620703285991,Coffee Shop
